grupo_id,n_registros,codigos,establecimiento_representativo,niveles,nombre_generico_sospechoso
129,6,"00-02-4162-45, 00-02-4200-46, 00-02-9720-45, 00-02-9721-46, 00-02-9728-45, 00-02-9729-46",COLEGIO DE COMPUTACION BLAISE PASCAL,"BASICO, DIVERSIFICADO",False
2053,6,"09-01-0012-42, 09-01-0097-43, 09-01-0153-45, 09-01-0381-45, 09-01-0382-46, 09-01-0383-46",INSTITUTO EVANGÉLICO DE OCCIDENTE,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
3427,6,"17-03-0074-42, 17-03-0075-43, 17-03-0076-42, 17-03-0077-43, 17-03-0079-46, 17-03-0080-45","CENTRO EDUCATIVO CRISTIANO CON ORIENTACIÓN UNIVERSITARIA ""EL SHADDAI""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
2136,6,"09-09-0051-45, 09-09-0080-46, 09-09-0120-46, 09-09-0304-42, 09-09-3425-43, 09-09-3436-43",COLEGIO CRISTIANO MIXTO ALFA Y OMEGA,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
569,6,"01-07-0047-43, 01-07-0048-42, 01-07-0049-45, 01-07-0066-45, 01-07-0067-46, 01-07-0068-46","LICEO MIXTO GUATEMALTECO ""TORRE FUERTE""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1541,6,"04-04-0026-43, 04-04-0027-45, 04-04-0028-45, 04-04-0029-46, 04-04-3226-45, 04-04-3227-46",CENTRO EDUCATIVO FORMACION Y CIENCIA,"BASICO, DIVERSIFICADO, PRIMARIA",False
3975,6,"22-06-0001-46, 22-06-0016-46, 22-06-0023-46, 22-06-0024-45, 22-06-0030-46, 22-06-2267-46",INSTITUTO PARTICULAR MIXTO EL JÍCARO,"BASICO, DIVERSIFICADO",False
1754,6,"05-09-0030-42, 05-09-0047-46, 05-09-2840-43, 05-09-2841-45, 05-09-2842-46, 05-09-2981-45",COLEGIO MIXTO MONTE HOREB,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1868,6,"07-01-0096-46, 07-01-0161-45, 07-01-0425-42, 07-01-0449-43, 07-01-0548-45, 07-01-2568-46",COLEGIO MONTE SION,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
3454,6,"17-05-0206-45, 17-05-0207-45, 17-05-0208-46, 17-05-0209-46, 17-05-0210-46, 17-05-3351-46","COLEGIO DE CIENCIAS COMERCIALES LAS CRUCES, CON ORIENTACION EN COMPUTACION","BASICO, DIVERSIFICADO",False
12,6,"00-01-0480-43, 00-01-0482-46, 00-01-0807-45, 00-01-0808-46, 00-01-9115-44, 00-01-9116-46",CENTRO EDUCATIVO MIXTO MONTENEVADO,"BASICO, DIVERSIFICADO, PRIMARIA, PRIMARIA DE ADULTOS",False
949,6,"01-14-0133-46, 01-14-0204-46, 01-14-0205-45, 01-14-0206-46, 01-14-6831-42, 01-14-6832-43",COLEGIO BILINGUE CORBAN,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1985,6,"08-01-0247-46, 08-01-2498-46, 08-01-2499-46, 08-01-2500-45, 08-01-2523-42, 08-01-2524-43",COLEGIO CIENTIFICO Y TECNOLOGICO EL PEDREGAL,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
514,6,"01-03-0179-46, 01-03-2612-42, 01-03-2613-43, 01-03-8252-45, 01-03-8253-45, 01-03-8254-46",CENTRO EDUCATIVO INTEGRAL EL SABER,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1417,6,"03-08-0063-45, 03-08-0064-46, 03-08-0065-45, 03-08-0066-46, 03-08-0067-46, 03-08-0068-45",CENTRO EDUCATIVO TECNOLOGICO BLESSING,"BASICO, DIVERSIFICADO",False
3971,6,"22-05-0056-46, 22-05-0057-46, 22-05-0073-46, 22-05-0238-45, 22-05-0302-46, 22-05-2189-45","INSTITUTO PARTICULAR MIXTO ""MARÍA CHINCHILLA""","BASICO, DIVERSIFICADO",False
774,6,"01-08-7775-45, 01-08-7777-45, 01-08-7778-46, 01-08-7779-44, 01-08-7780-45, 01-08-8247-45",LICEO COMERCIAL TECNOLOGICO 'EL RODEO',"BASICO, DIVERSIFICADO, PRIMARIA DE ADULTOS",False
782,6,"01-08-0825-46, 01-08-8518-45, 01-08-8519-45, 01-08-8520-46, 01-08-8521-46, 01-08-8631-44",CENTRO DE DESARROLLO EDUCATIVO SAN JOSE,"BASICO, DIVERSIFICADO, PRIMARIA DE ADULTOS",False
803,6,"01-08-0301-45, 01-08-0302-45, 01-08-0303-46, 01-08-0304-46, 01-08-9271-42, 01-08-9272-43",COLEGIO INTEGRAL MUNDO EDUCATIVO,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
2102,6,"09-01-0295-46, 09-01-0310-45, 09-01-0506-46, 09-01-0507-45, 09-01-3946-42, 09-01-3947-43","COLEGIO PRIVADO MIXTO ""GANDHI""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1737,6,"05-07-0040-46, 05-07-2494-45, 05-07-2496-45, 05-07-2498-46, 05-07-2499-46, 05-07-2799-45",INSTITUTO DE COMPUTACION INFORMATICA,"BASICO, DIVERSIFICADO",False
506,6,"01-03-0142-43, 01-03-0143-45, 01-03-0187-45, 01-03-0188-46, 01-03-0190-46, 01-03-0191-46",LICEO CRISTIANO REY SALOMÓN,"BASICO, DIVERSIFICADO, PRIMARIA",False
1009,6,"01-15-0455-46, 01-15-0482-46, 01-15-0483-46, 01-15-0484-45, 01-15-0497-46, 01-15-0502-45",LICEO TÉCNICO INDUSTRIAL MAYA TIKAL,"BASICO, DIVERSIFICADO",False
2108,6,"09-01-0326-46, 09-01-3882-43, 09-01-3883-45, 09-01-3884-45, 09-01-4045-42, 09-01-4108-46",COLEGIO CONTINENTAL,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1742,6,"05-09-0018-42, 05-09-0019-43, 05-09-0048-45, 05-09-0066-46, 05-09-0067-46, 05-09-0076-46",COLEGIO MIXTO PARTICULAR LICEO GUATEMALA DEL SUR,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
2632,6,"13-04-0113-43, 13-04-0114-45, 13-04-0115-45, 13-04-0116-46, 13-04-0117-46, 13-04-0125-45","INSTITUTO PRIVADO MIXTO ""I.P.E.V.""","BASICO, DIVERSIFICADO, PRIMARIA",False
1046,6,"01-15-0099-42, 01-15-0100-43, 01-15-0101-45, 01-15-0539-46, 01-15-0741-45, 01-15-0742-46","LICEO CRISTIANO ""SENDAS NUEVAS""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
2527,6,"12-19-0099-45, 12-19-0100-46, 12-19-0101-46, 12-19-0102-45, 12-19-0124-45, 12-19-0125-46",COLEGIO MIXTO LICEO ORIZABA,"BASICO, DIVERSIFICADO",False
3806,6,"20-07-0002-46, 20-07-0003-46, 20-07-0004-46, 20-07-0060-45, 20-07-0148-45, 20-07-0149-46","INSTITUTO TECNICO INDUSTRIAL ""HENRY FORD""","BASICO, DIVERSIFICADO",False
769,6,"01-08-7414-42, 01-08-7415-43, 01-08-7416-45, 01-08-7417-46, 01-08-8097-45, 01-08-8099-46",COLEGIO EVANGELICO MIXTO INTEGRAL,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
848,6,"01-10-0151-45, 01-10-0153-46, 01-10-0154-46, 01-10-0155-45, 01-10-0156-44, 01-10-0199-45",COLEGIO INTEGRAL TECNOLÓGICO CIENTÍFICO CITEC,"BASICO, DIVERSIFICADO, PRIMARIA DE ADULTOS",False
3609,6,"18-01-0182-46, 18-01-0183-45, 18-01-0184-45, 18-01-0185-46, 18-01-0446-45, 18-01-0447-46","INSTITUTO PARTICULAR MIXTO ""DESARROLLO Y CIENCIA""","BASICO, DIVERSIFICADO",False
3755,6,"20-01-0198-46, 20-01-0233-44, 20-01-0234-45, 20-01-0235-46, 20-01-0312-45, 20-01-0313-46",COLEGIO MIXTO EN TECNOLOGIA LATINOAMERICANO,"BASICO, DIVERSIFICADO, PRIMARIA DE ADULTOS",False
4010,6,"22-14-0072-46, 22-14-0095-46, 22-14-1580-46, 22-14-1832-42, 22-14-1833-43, 22-14-2075-45",INSTITUTO TECNOLOGICO DE SURORIENTE,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
2679,6,"13-12-0087-45, 13-12-0098-46, 13-12-0119-46, 13-12-1468-42, 13-12-1468-43, 13-12-1637-45","COLEGIO EVANGELICO MIXTO ""NAZARET""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
708,6,"01-08-0856-42, 01-08-0857-43, 01-08-0859-46, 01-08-3020-42, 01-08-3020-43, 01-08-4266-45",COLEGIO LEHNSEN ROOSEVELT,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1828,6,"06-03-1752-44, 06-03-1753-43, 06-03-1754-42, 06-03-1755-45, 06-03-1756-45, 06-03-1829-46",LICEO MIXTO DE EDUCACION 'PREBISTERO GUILLERMO JAGENEAU',"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
2225,6,"10-01-0012-42, 10-01-0031-43, 10-01-0084-45, 10-01-0095-46, 10-01-0426-46, 10-01-1168-46","COLEGIO PARTICULAR MIXTO ""LA ILUSTRACION""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1803,6,"05-13-1926-42, 05-13-1929-42, 05-13-2002-42, 05-13-2284-42, 05-13-2527-42, 05-13-2528-42",EODP ANEXA A EORM,PARVULOS,False
4001,6,"22-12-0069-45, 22-12-0070-45, 22-12-0071-43, 22-12-0072-46, 22-12-0073-46, 22-12-0074-46","COLEGIO EVANGÉLICO INTEGRAL ""KAIROS""","BASICO, DIVERSIFICADO, PRIMARIA",False
2191,6,"09-20-0033-46, 09-20-0065-43, 09-20-0120-42, 09-20-3796-46, 09-20-3797-45, 09-20-4055-46",INSTITUTO DE COMPUTACION INFORMATICA,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
79,6,"00-01-0187-46, 00-01-0715-46, 00-01-2408-46, 00-01-7993-45, 00-01-8543-45, 00-01-8596-46",ESCUELA TECNICA SUPERIOR ALINARI,"BASICO, DIVERSIFICADO",False
651,6,"01-08-0645-46, 01-08-0646-44, 01-08-0647-45, 01-08-0648-46, 01-08-0816-46, 01-08-0817-45",CENTRO EDUCATIVO HOSANNA,"BASICO, DIVERSIFICADO, PRIMARIA DE ADULTOS",False
2224,6,"10-01-0192-45, 10-01-0193-46, 10-01-0848-42, 10-01-0853-43, 10-01-0876-45, 10-01-0911-46",COLEGIO PRIVADO MIXTO SANTA MARIA DEL CAMINO,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
3998,6,"22-12-0039-46, 22-12-0048-45, 22-12-0049-45, 22-12-0050-46, 22-12-0051-46, 22-12-0052-46",COLEGIO BILINGUE NUEVA ERA,"BASICO, DIVERSIFICADO",False
1519,6,"04-03-0206-42, 04-03-0207-43, 04-03-0208-45, 04-03-0209-46, 04-03-0232-46, 04-03-0233-45",CENTRO EDUCATIVO SAN JUAN PABLO -CEJUPA-,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
2220,6,"10-01-0239-46, 10-01-0240-45, 10-01-0241-46, 10-01-0242-44, 10-01-0372-45, 10-01-0392-46",LICEO DE EDUCACION SUPERIOR PREUNIVERSITARIO,"BASICO, DIVERSIFICADO, PRIMARIA DE ADULTOS",False
664,6,"01-08-0736-45, 01-08-0737-46, 01-08-0738-45, 01-08-0739-46, 01-08-0887-42, 01-08-0889-46","LICEO TECNOLÓGICO DE GUATEMALA ""ELOHIM""","BASICO, DIVERSIFICADO, PARVULOS",False
3054,6,"15-07-0032-45, 15-07-0033-46, 15-07-0034-46, 15-07-0035-45, 15-07-0047-45, 15-07-0048-46",COLEGIO PARTICULAR MIXTO SAN JERONIMO,"BASICO, DIVERSIFICADO",False
3116,6,"16-01-1172-46, 16-01-1173-46, 16-01-1178-42, 16-01-1179-43, 16-01-1204-45, 16-01-1216-45",COLEGIO PARTICULAR MIXTO CARLOS V,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
668,6,"01-08-0916-42, 01-08-0917-43, 01-08-0918-45, 01-08-0919-45, 01-08-0920-46, 01-08-0921-46","CENTRO DE ESTUDIOS TECNOLÓGICOS ""EL EXITO""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
2684,6,"13-12-0080-45, 13-12-0081-46, 13-12-0134-46, 13-12-0135-45, 13-12-5946-45, 13-12-5947-46",INSTITUTO PARTICULAR MIXTO DEMOCRACENSE,"BASICO, DIVERSIFICADO",False
3989,6,"22-11-0084-45, 22-11-0085-45, 22-11-0086-46, 22-11-0087-46, 22-11-0096-46, 22-11-0097-45","INSTITUTO PARTICULAR FORMACION Y DESARROLLO PROFESIONAL ""INDEFORP II""","BASICO, DIVERSIFICADO",False
684,6,"01-08-1072-43, 01-08-1075-44, 01-08-1076-45, 01-08-1077-46, 01-08-1078-45, 01-08-1090-46",ISEA ROOSEVELT,"BASICO, DIVERSIFICADO, PRIMARIA, PRIMARIA DE ADULTOS",False
2212,6,"10-01-0294-43, 10-01-0295-45, 10-01-0296-46, 10-01-0320-45, 10-01-0321-46, 10-01-0394-45","INSTITUTO PRIVADO MIXTO ""JOSE ERNESTO MONZON""","BASICO, DIVERSIFICADO, PRIMARIA",False
1113,6,"01-15-0274-46, 01-15-0546-45, 01-15-0684-45, 01-15-0685-46, 01-15-3092-46, 01-15-7646-45",INSTITUTO PROFESIONAL DE COMPUTACION,"BASICO, DIVERSIFICADO",False
674,6,"01-08-0556-46, 01-08-0833-45, 01-08-0836-46, 01-08-0837-45, 01-08-0977-42, 01-08-0978-43",COLEGIO BROWN'S,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1813,6,"06-01-0119-46, 06-01-0123-45, 06-01-0124-46, 06-01-0125-46, 06-01-0137-45, 06-01-0138-46","COLEGIO CATÓLICO ECO-TECNOLÓGICO ""SAGRADO CORAZON DE JESÚS""","BASICO, DIVERSIFICADO",False
2217,6,"10-01-0291-42, 10-01-0292-43, 10-01-0317-45, 10-01-0359-46, 10-01-0418-46, 10-01-0427-46","COLEGIO PRIVADO MIXTO DE LIDERAZGO ""ILAG""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
676,6,"01-08-0969-42, 01-08-0971-44, 01-08-0972-45, 01-08-0973-45, 01-08-0974-46, 01-08-1003-46",CENTRO EDUCATIVO EDUKIDS,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA DE ADULTOS",False
677,6,"01-08-0995-46, 01-08-0996-46, 01-08-1006-43, 01-08-1007-44, 01-08-1008-45, 01-08-1009-45",CENTRO DE APRENDIZAJE ISOS,"BASICO, DIVERSIFICADO, PRIMARIA, PRIMARIA DE ADULTOS",False
1129,6,"01-15-8270-45, 01-15-8271-46, 01-15-8272-45, 01-15-8273-46, 01-15-8274-45, 01-15-8275-46",COLEGIO CRISTIANO BEZALEEL,"BASICO, DIVERSIFICADO",False
2180,6,"09-20-0590-43, 09-20-0820-45, 09-20-0820-46, 09-20-1000-46, 09-20-3563-45, 09-20-3694-46",COLEGIO EVANGELICO MIXTO JERUSALEM,"BASICO, DIVERSIFICADO, PRIMARIA",False
1767,6,"05-11-0086-42, 05-11-0087-43, 05-11-0088-45, 05-11-0089-46, 05-11-0095-45, 05-11-0096-46",LICEO TÉCNICO PRÍNCIPE DE PAZ,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1780,6,"05-11-2958-42, 05-11-2959-43, 05-11-2961-45, 05-11-2962-45, 05-11-2963-46, 05-11-2964-46",LICEO CRISTIANO BILINGÜE SANTIDAD Y PODER,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
3604,6,"18-01-0341-45, 18-01-0342-45, 18-01-0343-46, 18-01-0344-46, 18-01-0425-45, 18-01-0426-46",LICEO MIXTO BILINGÜE CANADIENSE,"BASICO, DIVERSIFICADO",False
1861,6,"07-01-0001-45, 07-01-0059-46, 07-01-0061-46, 07-01-0122-45, 07-01-0124-46, 07-01-0201-45","LICEO TECNOLOGICO BILINGUE ""CUAUHTEMALLAN DE SOLOLA""","BASICO, DIVERSIFICADO",False
1540,6,"04-04-0088-46, 04-04-0089-46, 04-04-2117-45, 04-04-2127-43, 04-04-2128-42, 04-04-2129-46",LICEO MIXTO BILINGÜE SAN JUAN,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
743,6,"01-08-0479-46, 01-08-2663-45, 01-08-2965-42, 01-08-4409-43, 01-08-6238-42, 01-08-7315-46",CENTRO EDUCATIVO LINCOLN,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
66,6,"00-01-0366-46, 00-01-2865-45, 00-01-2908-46, 00-01-4376-46, 00-01-4621-45, 00-01-8027-44","INSTITUTO PARTICULAR MIXTO ""CIENCIA Y DESARROLLO""","BASICO, DIVERSIFICADO, PRIMARIA DE ADULTOS",False
120,6,"00-02-0097-43, 00-02-0120-45, 00-02-0121-46, 00-02-0122-46, 00-02-0123-46, 00-02-0131-46","COLEGIO EVANGÉLICO MIXTA ""LA PATRIA""","BASICO, DIVERSIFICADO, PRIMARIA",False
737,6,"01-08-6121-43, 01-08-6287-42, 01-08-7232-45, 01-08-7233-45, 01-08-7236-44, 01-08-7238-46",COLEGIO 'FUTURO AMANECER',"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
1152,6,"01-15-0453-46, 01-15-8959-46, 01-15-9333-46, 01-15-9334-45, 01-15-9335-45, 01-15-9336-46",LICEO TECNICO INDUSTRIAL MAYA TIKAL,"BASICO, DIVERSIFICADO",False
3599,6,"18-01-0270-45, 18-01-0271-45, 18-01-0272-45, 18-01-0273-46, 18-01-0274-46, 18-01-0275-46",INSTITUTO PRIVADO MIXTO NAZARENO,"BASICO, DIVERSIFICADO",False
2066,6,"09-01-0263-45, 09-01-0264-43, 09-01-0265-42, 09-01-0379-46, 09-01-0552-46, 09-01-0553-46",ESCUELA PRIVADA MIXTO EVANGELICA SHEKINA,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
598,6,"01-08-0271-45, 01-08-0272-45, 01-08-0273-46, 01-08-0274-46, 01-08-0275-45, 01-08-0276-46",ESCUELA DE SISTEMAS EN INFORMATICA ZONA 19,"BASICO, DIVERSIFICADO",False
115,6,"00-02-0023-46, 00-02-0024-45, 00-02-0025-45, 00-02-0026-45, 00-02-0027-46, 00-02-0028-46",LICEO CRISTIANO EXXITTO,"BASICO, DIVERSIFICADO",False
36,6,"00-01-0648-46, 00-01-0791-46, 00-01-0854-45, 00-01-4723-44, 00-01-6980-45, 00-01-9832-43",CENTRO DE EDUCACIÓN CONTINUADA PARA ADOLESCENTES CON DISCAPACIDAD AUDITIVA,"BASICO, DIVERSIFICADO, PRIMARIA, PRIMARIA DE ADULTOS",False
1478,6,"04-01-0146-45, 04-01-0147-46, 04-01-0289-43, 04-01-0290-42, 04-01-0318-46, 04-01-0391-46",CENTRO DE ESTUDIOS INTEGRADOS CEI,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
110,6,"00-01-9643-44, 00-01-9644-45, 00-01-9645-45, 00-01-9646-46, 00-01-9744-45, 00-01-9745-46",COLEGIO TECNICO RENOIR,"BASICO, DIVERSIFICADO, PRIMARIA DE ADULTOS",False
1141,6,"01-15-7121-45, 01-15-7122-46, 01-15-8179-45, 01-15-8766-43, 01-15-8767-45, 01-15-8768-46",COLEGIO EVANGELICO MIXTO GUATEMALA,"BASICO, DIVERSIFICADO, PRIMARIA",False
102,6,"00-01-0858-45, 00-01-9169-45, 00-01-9170-46, 00-01-9172-46, 00-01-9173-46, 00-01-9531-45",COLEGIO VALVERDE,"BASICO, DIVERSIFICADO",False
3264,6,"16-09-0748-46, 16-09-0751-45, 16-09-0752-45, 16-09-0760-46, 16-09-0861-45, 16-09-0862-46",LICEO INTERCULTURAL VERAPACENSE,"BASICO, DIVERSIFICADO",False
917,6,"01-13-0057-42, 01-13-0058-43, 01-13-0059-45, 01-13-0060-46, 01-13-0152-45, 01-13-0153-46","COLEGIO ""MARIANO Y RAFAEL CASTILLO CÓRDOVA""","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
38,6,"00-01-0874-42, 00-01-0875-43, 00-01-0876-45, 00-01-0877-45, 00-01-0878-45, 00-01-0879-46","INSTITUTO AMERICANO Y TECNOLÓGICO JHULES, SOCIEDAD ANÓNIMA","BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1534,6,"04-04-0032-45, 04-04-0035-45, 04-04-0054-46, 04-04-0055-45, 04-04-0067-45, 04-04-0068-46","CENTRO EDUCATIVO ""FUENTE DE SABIDURIA""","BASICO, DIVERSIFICADO",False
2169,6,"09-20-0076-46, 09-20-0077-45, 09-20-0089-45, 09-20-0090-45, 09-20-0130-45, 09-20-0131-46","COLEGIO EDUCATIVO MIXTO ÁNGEL DE JEHOVA ""CEMAJ""","BASICO, DIVERSIFICADO",False
97,6,"00-01-0542-46, 00-01-0543-45, 00-01-2451-46, 00-01-2453-43, 00-01-9451-45, 00-01-9452-46",LICEO DE COMPUTACIÓN C.S.S.,"BASICO, DIVERSIFICADO, PRIMARIA",False
629,6,"01-08-0621-42, 01-08-0622-43, 01-08-0623-45, 01-08-0624-46, 01-08-0625-46, 01-08-0626-45",CENTRO EDUCATIVO APOYATE EN MÍ,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
810,6,"01-08-8344-42, 01-08-8346-45, 01-08-8364-45, 01-08-8366-46, 01-08-8367-44, 01-08-9351-46",COLEGIO CENTRO ROSSEL EDUCATIVO,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA DE ADULTOS",False
631,6,"01-08-0128-46, 01-08-0129-46, 01-08-0130-46, 01-08-0601-46, 01-08-0637-46, 01-08-0638-46",INSTITUTO TECNOLOGICO DOCTOR THEO BLOEM,DIVERSIFICADO,False
2062,6,"09-01-0289-45, 09-01-0461-45, 09-01-0462-46, 09-01-0463-46, 09-01-0464-45, 09-01-0501-46",COLEGIO MIXTO EL FARO,"BASICO, DIVERSIFICADO",False
1494,6,"04-01-2276-43, 04-01-2277-45, 04-01-2765-45, 04-01-2766-46, 04-01-2767-46, 04-01-2811-46",COLEGIO LICEO INTEGRAL 'CIENTIFICO EN COMPUTACION',"BASICO, DIVERSIFICADO, PRIMARIA",False
1275,6,"01-17-0006-46, 01-17-6770-42, 01-17-6771-43, 01-17-7930-45, 01-17-8114-44, 01-17-8115-45",COLEGIO MIXTO NICTE,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA, PRIMARIA DE ADULTOS",False
2415,6,"12-01-0112-42, 12-01-0113-43, 12-01-0114-46, 12-01-0131-46, 12-01-0153-46, 12-01-4527-45",COLEGIO DE ESTUDIOS TECNICOS ESPECIALIZADOS EN COMPUTACION CETESC,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1264,6,"01-17-7403-42, 01-17-7404-43, 01-17-7405-45, 01-17-7406-46, 01-17-7407-45, 01-17-7409-46",COLEGIO CLASICO GUATEMALTECO,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
308,6,"00-12-9002-45, 00-12-9003-46, 00-12-9004-46, 00-12-9005-45, 00-12-9006-46, 00-12-9007-46",COLEGIO BILINGUE DE COMPUTACION C.B.C EL CARMEN,"BASICO, DIVERSIFICADO",False
887,6,"01-10-0304-46, 01-10-0305-45, 01-10-9010-42, 01-10-9011-43, 01-10-9015-45, 01-10-9016-46",COLEGIO MIXTO JARDINES DE SAN GABRIEL,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
3350,6,"16-13-0223-45, 16-13-0224-45, 16-13-0225-46, 16-13-0226-46, 16-13-0273-45, 16-13-0274-46",LICEO MIXTO EN COMPUTACION DEL NORTE,"BASICO, DIVERSIFICADO",False
1342,6,"03-01-0180-45, 03-01-0230-45, 03-01-0230-46, 03-01-0258-45, 03-01-0259-46, 03-01-1425-46",INSTITUTO PARTICULAR MIXTO CIENCIA Y DESARROLLO,"BASICO, DIVERSIFICADO",False
301,6,"00-12-0033-46, 00-12-0907-45, 00-12-0907-46, 00-12-0911-45, 00-12-7771-45, 00-12-7772-46",COLEGIO MIXTO CIENCIA Y ARTE,"BASICO, DIVERSIFICADO",False
444,6,"00-19-7895-45, 00-19-7896-46, 00-19-8024-45, 00-19-8025-45, 00-19-8026-46, 00-19-8892-46",ESCUELA SUPERIOR DE INFORMATICA,"BASICO, DIVERSIFICADO",False
861,6,"01-10-0273-44, 01-10-0274-43, 01-10-0275-46, 01-10-0276-45, 01-10-0277-45, 01-10-0278-46",COLEGIO TECNOLOGICO GUATEMALTECO EDU,"BASICO, DIVERSIFICADO, PRIMARIA, PRIMARIA DE ADULTOS",False
359,6,"00-17-0011-46, 00-17-0014-46, 00-17-0015-45, 00-17-9132-45, 00-17-9133-45, 00-17-9135-46",CENTRO EDUCATIVO DE INFORMATICA SINAI,"BASICO, DIVERSIFICADO",False
448,6,"00-19-9022-42, 00-19-9023-43, 00-19-9024-45, 00-19-9025-46, 00-19-9515-45, 00-19-9516-46",COLEGIO EVANGELICO MIXTO INTEGRAL,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1340,6,"03-01-0223-45, 03-01-0224-45, 03-01-0225-45, 03-01-0226-46, 03-01-0227-46, 03-01-0228-46",CENTRO DE ESTUDIOS TECNOLOGICOS INTEGRALES,"BASICO, DIVERSIFICADO",False
1691,6,"05-04-0026-45, 05-04-0027-46, 05-04-0035-45, 05-04-0036-46, 05-04-0049-45, 05-04-0050-46",INSTITUTO MIXTO MUNICIPAL DE EDUCACIÓN BÁSICA Y BACHILLERATO POR MADUREZ.,"BASICO, DIVERSIFICADO",False
214,6,"00-07-7645-46, 00-07-7647-45, 00-07-7649-46, 00-07-7650-45, 00-07-7651-45, 00-07-8335-46","LICEO MIXTO TECNICO EN COMPUTACION SENDA 2,000","BASICO, DIVERSIFICADO",False
860,6,"01-10-0075-46, 01-10-0093-46, 01-10-0186-46, 01-10-0269-42, 01-10-0270-43, 01-10-0302-45",COLEGIO CRISTIANO SECRETARIAL LA LUZ,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1586,6,"04-13-0017-46, 04-13-0022-46, 04-13-0500-44, 04-13-0598-46, 04-13-2096-42, 04-13-2097-45",COLEGIO PRIVADO MIXTO SAN ANDRES,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA DE ADULTOS",False
2588,6,"13-01-0292-46, 13-01-0343-45, 13-01-0412-45, 13-01-0413-46, 13-01-1505-46, 13-01-1726-45","LICEO PRIVADO MIXTO ""CENTROAMERICANO HUEHUETECO""","BASICO, DIVERSIFICADO",False
1345,6,"03-01-0008-42, 03-01-0172-46, 03-01-0247-43, 03-01-0781-45, 03-01-0860-46, 03-01-1394-46",COLEGIO MIXTO INTEGRAL SANTIAGO,"BASICO, DIVERSIFICADO, PARVULOS, PRIMARIA",False
1231,6,"01-17-0225-46, 01-17-0226-46, 01-17-0227-46, 01-17-0228-46, 01-17-0229-46, 01-17-0318-45",INSTITUTO TÉCNICO EMILIANI SOMASCOS,"BASICO, DIVERSIFICADO",False
2559,6,"13-01-0017-43, 13-01-0063-45, 13-01-0067-45, 13-01-0067-46, 13-01-1583-45, 13-01-4860-46",COLEGIO MIXTO ASTURIAS,"BASICO, DIVERSIFICADO, PRIMARIA",False
