CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
09-01-0061-43,09-01-0428,QUETZALTENANGO,QUETZALTENANGO,"EOUM JM, 'BENITO JUÁREZ'   LA CIÉNAGA",7A. AVE. 10-45 ZONA 5,77611239,JUAN CARLOS RONQUILLO,MYNOR RONALD RALÓN DE LEÓN,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0062-43,09-01-0430,QUETZALTENANGO,QUETZALTENANGO,EOUM FRANCISCO CAPUANO,QUETZALTENANGO DIAGONAL 2 BARRIO GARIBALDI ZONA 3,77672797,WILSON RANFERÍ SIGÚENZA LÓPEZ,AURA EUGENIA GONZÁLEZ OROZCO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0063-43,09-01-0425,QUETZALTENANGO,QUETZALTENANGO,EOUM DR. ROBERTO MOLINA,4 CALLE 3-55 ZONA 5 COLONIA MOLINA,41412580,RAMÓN YAX LAÍNES,MARCELA ALEJANDRA COYOY YAX,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0064-43,09-01-0427,QUETZALTENANGO,QUETZALTENANGO,EOUM 'MANUEL C. FIGUEROA',25 AVE. Y 4A. CALLE ZONA 3,54128351,DINA RUBÍ GONZÁLEZ DE LEÓN,ERVIN EDUARDO SAQUIC OROZCO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0065-43,09-01-0427,QUETZALTENANGO,QUETZALTENANGO,EOUM MANFREDO  L. DELEON,"18 AVE. 10A. CALLE ZONA 1, BARRIO LAS FLORES",77610307,DINA RUBÍ GONZÁLEZ DE LEÓN,BERLÍN RAQUEL REYES ROMERO,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0066-42,,QUETZALTENANGO,QUETZALTENANGO,EODP,"COLONIA 'EL MAESTRO', ZONA 8",,,,PARVULOS,OFICIAL,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0066-43,09-01-0425,QUETZALTENANGO,QUETZALTENANGO,"EOUM ""COLONIA EL MAESTRO""","COLONIA EL MAESTRO, ZONA 8",56467480,RAMÓN YAX LAÍNES,ANA MARÍA GARCÍA DÍAZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0067-43,09-01-0426,QUETZALTENANGO,QUETZALTENANGO,EOUV ESTEBAN FIGUEROA,10A. CALLE 13-10 ZONA 1,77612070,PEDRO GERÓNIMO SARAT CHAJ,EVERARDO SEBASTIÁN SUCUQUÍ CAC,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0068-43,09-01-0425,QUETZALTENANGO,QUETZALTENANGO,EOUV 'VICENTE R. SANCHEZ.',PLAZUELA EL CALVARIO ZONA 1,55750444,RAMÓN YAX LAÍNES,SERGIO IVAN HUERTAS VELIZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
09-01-0069-43,09-01-0425,QUETZALTENANGO,QUETZALTENANGO,"EOUV ""20 DE OCTUBRE""",AVENIDA JESUS CASTILLO A-16 ZONA 2,52115592,RAMÓN YAX LAÍNES,HENRY ORLANDO YAX GÓMEZ,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),QUETZALTENANGO
