CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
10-01-2203-42,26-025,SUCHITEPEQUEZ,MAZATENANGO,EDAC - PRONADE - ANEXA,CANTON LA CUCHILLA,,PROYECTO FUNDAZUCAR,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2204-42,10-01-0480,SUCHITEPEQUEZ,MAZATENANGO,EODP ANEXA A EOUM,LOTIFICACION DIAZ CAJAS,30900987,NATALI XIOMARA DÍAZ BARRIOS DE FIGUEROA,JOVITA ROSALINDA JEREZ,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2206-42,26-025,SUCHITEPEQUEZ,MAZATENANGO,EDAC - PRONADE - ANEXA,ALDEA CHIQUISTEPEQUE,,PROYECTO FUNDAZUCAR,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2213-46,25-000,SUCHITEPEQUEZ,MAZATENANGO,INSTITUTO GUATEMALTECO DE EDUCACION RADIOFONICA (IGER),,,SONIA HAYDEE REYES MONTERROSO,,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,A DISTANCIA,SUCHITEPÉQUEZ
10-01-2215-45,10-01-0511,SUCHITEPEQUEZ,MAZATENANGO,LICEO TECNICO DEL SUR,BARRIO LA UNION 3-00 ZONA 2,78720055,HEILYN MIRELLA GONZÁLEZ XAR DE QUINTEROS,ROBERTO  CORONADO PÉREZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2216-46,10-01-0511,SUCHITEPEQUEZ,MAZATENANGO,LICEO TECNICO DEL SUR,BARRIO LA UNION 3-00 ZONA 2,78720055,HEILYN MIRELLA GONZÁLEZ XAR DE QUINTEROS,ROBERTO  CORONADO PÉREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2217-46,10-019,SUCHITEPEQUEZ,MAZATENANGO,LICEO TECNICO DEL SUR,BARRIO LA UNION 3-00 ZONA 2,78724800,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,MARTHA OLIMPIA OAJACA SANTIZ,DIVERSIFICADO,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2218-46,10-01-0511,SUCHITEPEQUEZ,MAZATENANGO,LICEO TECNICO DEL SUR,BARRIO LA UNION 3-00 ZONA 2,78720055,HEILYN MIRELLA GONZÁLEZ XAR DE QUINTEROS,ROBERTO  CORONADO PÉREZ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2230-42,10-01-0511,SUCHITEPEQUEZ,MAZATENANGO,"CEES ""NUEVO DIA""","CALLE PRINCIPAL CANTÓN PERÚ 3, ZONA 4",59454459,HEILYN MIRELLA GONZÁLEZ XAR DE QUINTEROS,LUZ VIRGINIA PÉREZ YAEGGY,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2236-43,10-018,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO PANAMERICANO},3A. AV. 1. CALLE LOTIFICACION RAMIREZ ZONA 3,78718151,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,,PRIMARIA,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2239-42,27-024,SUCHITEPEQUEZ,MAZATENANGO,PROGRAMA DE HOGARES COMUNITARIOS (SOSEP),OFICINA DE GOBERNACION DEPARTAMENTAL,8721787 CEL. 9005699,TELMA FLORIDALMA SANTIAGO ROMERO,,PARVULOS,OFICIAL,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,DOBLE,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2240-42,26-025,SUCHITEPEQUEZ,MAZATENANGO,EDAC PRONADE ANEXA,ALDEA LA MONTAÑITA,,PROYECTO FUNDAZUCAR,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2241-42,10-99-0481,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PRIVADO MIXTO ""MAYA MAZATENANGO""",BARRIO LA ESPERANZA ZONA 2,78720327,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,ELISA  MAZARIEGOS ALVARADO,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2242-43,10-99-0481,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PRIVADO  MIXTO ""MAYA MAZATENANGO""",BARRIO LA ESPERANZA ZONA 2,78720327,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,ELISA  MAZARIEGOS ALVARADO,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2243-45,10-99-0481,SUCHITEPEQUEZ,MAZATENANGO,"COLEGIO PRIVADO MIXTO ""MAYA MAZATENANGO""",BARRIO LA ESPERANZA ZONA 2,78720327,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,ELISA  MAZARIEGOS ALVARADO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2244-42,26-025,SUCHITEPEQUEZ,MAZATENANGO,EDAC -PRONADE- ANEXA,COMUNIDAD SAN MARCOS NIZA,,PROYECTO FUNDAZUCAR,,PARVULOS,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2251-42,10-019,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO 'MI PRIMERA LUZ',1A. CALLE 1-63 ZONA 1,77979889,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,KAREN FABIOLA QUIROA FIGUEROA,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2252-43,10-019,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO 'MI PRIMERA LUZ',1A. CALLE 1-63 ZONA 1,77979889,REYNA DEL ROSARIO CHAVEZ BARROW DE PACHECO,KAREN FABIOLA QUIROA FIGUEROA,PRIMARIA,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2253-42,10-018,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO CARROUSEL,"5A. AVENIDA 2-26 ZONA 2, RESIDENCIALES EL RELICARIO",78725927,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,,PARVULOS,PRIVADO,URBANA,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2279-46,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO ROSARIO,2AV. 4-84 ZONA 1,51591615,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,CARLOS ALBERTO SARDÁ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2281-46,,SUCHITEPEQUEZ,MAZATENANGO,COOPERACION MESOAMERICANA PARA EL DESARROLLO Y LA PAZ,COMUNIDAD AGRARIA LA GUADALUPE,,,,DIVERSIFICADO,PRIVADO,RURAL,CERRADA TEMPORALMENTE,BILINGUE,DOBLE,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2282-42,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO ROSARIO,2DA. AVENIDA 4-84 ZONA 1.,51591615,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,CARLOS ALBERTO SARDÁ,PARVULOS,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2283-43,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO ROSARIO,2A. AVENIDA 4-84 ZONA 1,51591615,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,CARLOS ALBERTO SARDÁ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2284-45,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO ROSARIO,2A. AVENIDA 4-84 ZONA 1,51591615,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,CARLOS ALBERTO SARDÁ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2285-46,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO ROSARIO,2A. AVENIDA 4-84 ZONA 1,51591615,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,CARLOS ALBERTO SARDÁ,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2288-45,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO CENTRO EDUCATIVO INTEGRAL CRISTIANO  FUENTE DE BENDICION,7A. AVENIDA 8-31 ZONA 1,56160793,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,JIMMY ALEJANDRO PÉREZ MACARIO,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SUCHITEPÉQUEZ
10-01-2289-46,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO CENTRO EDUCATIVO INTEGRAL CRISTIANO  FUENTE DE BENDICION,7A. AVENIDA 8-31 ZONA 1,78720315,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,ANA DELFINA FUENTES RIVAS,DIVERSIFICADO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,DOBLE,FIN DE SEMANA,SUCHITEPÉQUEZ
10-01-2297-45,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO  LICEO MAZATECO,6A. AVENIDA 2-21 ZONA 1,42759906,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,ALBA PATRICIA CIFUENTES DIAZ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2298-45,10-01-0482,SUCHITEPEQUEZ,MAZATENANGO,IEBC INSTITUTO DE EDUCACION BASICA POR COOPERATIVA,ALDEA TAHUEXCO,48157871,ANDREA MARÍA MORALES LÓPEZ,JONATHAN SAUDIEL GARCÍA GUTIÉRREZ,BASICO,COOPERATIVA,RURAL,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2303-45,10-01-0479,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO  ROSARIO,2A. AV. 4-84 ZONA 1,51591615,REYNA DEL ROSARIO CHÁVEZ BARROW DE PACHECO,CARLOS ALBERTO SARDÁ,BASICO,PRIVADO,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),SUCHITEPÉQUEZ
10-01-2326-45,10-018,SUCHITEPEQUEZ,MAZATENANGO,COLEGIO PRIVADO MIXTO BEATO HERMANO PEDRO,1A. AV. 10A. CALLE 5-92 ZONA 1,78722688,NATALI XIOMARA DIAZ BARRIOS DE FIGUEROA,,BASICO,PRIVADO,URBANA,CERRADA DEFINITIVAMENTE,MONOLINGUE,DOBLE,FIN DE SEMANA,SUCHITEPÉQUEZ
