CODIGO,DISTRITO,DEPARTAMENTO,MUNICIPIO,ESTABLECIMIENTO,DIRECCION,TELEFONO,SUPERVISOR,DIRECTOR,NIVEL,SECTOR,AREA,STATUS,MODALIDAD,JORNADA,PLAN,DEPARTAMENTAL
04-12-0071-43,04-030,CHIMALTENANGO,SAN PEDRO YEPOCAPA,"COLEGIO EVANGÉLICO MIXTO ""BEREA""","COLONIA VILLAS DE SAN PEDRO, BARRIO SAN CRISTOBAL",50030866,OTTO VINICIO AJTÚN GARCIA,YENIFER FABIOLA ALTAN XILOJ,PRIMARIA,PRIVADO,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0476-42,04-12-0245,CHIMALTENANGO,SAN PEDRO YEPOCAPA,"EODP INTEGRAL ""BELICE""",CUARTO CANTON,47218313,YURI EMPERATRIZ GABRIEL BAC DE TORRES,THELMA FABIOLA TAX COS,PARVULOS,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0477-43,04-12-0245,CHIMALTENANGO,SAN PEDRO YEPOCAPA,EOUM INTEGRAL  BELICE,CANTON TERCERO,42561403,YURI EMPERATRIZ GABRIEL BAC DE TORRES,VILMA NOEMÍ MATZIR MICULAX,PRIMARIA,OFICIAL,URBANA,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0478-43,04-12-0246,CHIMALTENANGO,SAN PEDRO YEPOCAPA,EORM,ALDEA LOS YUCALES,54569670,OTTO VINICIO AJTÚN GARCÍA,WILFREDO LORENZO LÓPEZ MAXÍA,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0479-43,04-12-0245,CHIMALTENANGO,SAN PEDRO YEPOCAPA,EORM,ALDEA LA CRUZ,40239858,YURI EMPERATRIZ GABRIEL BAC DE TORRES,ARMANDO  LOCH MAYOR,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0480-43,04-12-0245,CHIMALTENANGO,SAN PEDRO YEPOCAPA,EORM,ALDEA PANIMACHÉ I,33787935,YURI EMPERATRIZ GABRIEL BAC DE TORRES,SILVIA NOEMY LÓPEZ CHIQUITÁ,PRIMARIA,OFICIAL,RURAL,ABIERTA,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0481-43,04-12-0246,CHIMALTENANGO,SAN PEDRO YEPOCAPA,EORM,COMUNIDAD AGRARIA SANTA SOFIA,32872516,OTTO VINICIO AJTÚN GARCÍA,ERICKA JUDITH GARCÍA TEMAL,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0482-43,04-12-0246,CHIMALTENANGO,SAN PEDRO YEPOCAPA,EORM,COMUNIDAD AGRARIA MORELIA,32330902,OTTO VINICIO AJTÚN GARCÍA,NELSON  XINIC COS,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0483-43,04-12-0246,CHIMALTENANGO,SAN PEDRO YEPOCAPA,EORM,CASERIO PORVENIR,35550120,OTTO VINICIO AJTÚN GARCÍA,HENRY SALVADOR RODRÍGUEZ MEZA,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0484-43,04-12-0245,CHIMALTENANGO,SAN PEDRO YEPOCAPA,EORM,ALDEA LA ESTRELLA,34446086,YURI EMPERATRIZ GABRIEL BAC DE TORRES,SANDRA MAGALY QUEC HERNÁNDEZ,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0485-43,04-12-0245,CHIMALTENANGO,SAN PEDRO YEPOCAPA,EORM,ALDEA SAN FRANCISCO,40372511,YURI EMPERATRIZ GABRIEL BAC DE TORRES,RAYMUNDO  COS CUC,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0486-43,,CHIMALTENANGO,SAN PEDRO YEPOCAPA,EORM,CASERIO MONTE CARMELO,,,,PRIMARIA,OFICIAL,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0487-43,04-12-0246,CHIMALTENANGO,SAN PEDRO YEPOCAPA,EORM,COMUNIDAD HERMOGENES LOPEZ COARCHITA,42787955,OTTO VINICIO AJTÚN GARCÍA,CARLOS ENRIQUE MOX UMUL,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0488-45,04-12-0246,CHIMALTENANGO,SAN PEDRO YEPOCAPA,IEBC DE ENSEÑANZA,ALDEA BUENA VISTA I,45832659,OTTO VINICIO AJTÚN GARCÍA,HUGO ELISEO SOLOMÁN MATZÚL,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0586-43,04-12-0246,CHIMALTENANGO,SAN PEDRO YEPOCAPA,EORM,CASERIO BETHANIA,58128750,OTTO VINICIO AJTÚN GARCÍA,NIVIA JUDITH MICULAX XICAY,PRIMARIA,OFICIAL,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0632-45,04-12-0245,CHIMALTENANGO,SAN PEDRO YEPOCAPA,IEBC 'YEPOCAPA 91',CANTON TERCERO,49510530,YURI EMPERATRIZ GABRIEL BAC DE TORRES,RAFAEL  MICULAX LEÓN,BASICO,COOPERATIVA,URBANA,ABIERTA,MONOLINGUE,NOCTURNA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0649-41,,CHIMALTENANGO,SAN PEDRO YEPOCAPA,EPRM,FINCA LA ENSENADA AZUSA S.A.,,,,PREPRIMARIA BILINGUE,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,BILINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0661-43,04-12-0245,CHIMALTENANGO,SAN PEDRO YEPOCAPA,"COLEGIO PARROQUIAL ""SAN PEDRO""",CUARTO CANTÓN COLONIA SANTA ISABEL,79302678,YURI EMPERATRIZ GABRIEL BAC DE TORRES,LUIS PEDRO ZAMORA CHARUC,PRIMARIA,PRIVADO,RURAL,ABIERTA,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0680-43,,CHIMALTENANGO,SAN PEDRO YEPOCAPA,EPRM,FINCA LA ARGENTINA,,,,PRIMARIA,PRIVADO,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0681-45,,CHIMALTENANGO,SAN PEDRO YEPOCAPA,INSTITUTO MIXTO BASICO 'REGIONAL',COMUNIDAD AGRARIA SANTA SOFIA,,,,BASICO,COOPERATIVA,RURAL,CERRADA DEFINITIVAMENTE,MONOLINGUE,VESPERTINA,DIARIO(REGULAR),CHIMALTENANGO
04-12-0682-43,04-030,CHIMALTENANGO,SAN PEDRO YEPOCAPA,ESCUELA PRIVADA RURAL MIXTA,FINCA NIMAYA,,OTTO VINICIO AJTÚN GARCIA,,PRIMARIA,PRIVADO,RURAL,CERRADA TEMPORALMENTE,MONOLINGUE,MATUTINA,DIARIO(REGULAR),CHIMALTENANGO
